patent_use_code,definition
U-2393,"ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 43, 50 AND 51"
U-2394,FOR USE IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS WITH NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-2395,FOR THE TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS WITH NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-2396,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE DOSAGE UNIT COMPRISING LUMACAFTOR AS RECITED IN CLAIM 1 OF US PATENT 8716338 AND IVACAFTOR
U-2397,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE DOSAGE UNIT COMPRISING LUMACAFTOR AND IVACAFTOR AS RECITED IN CLAIM 1 OF US PATENT 9192606
U-2398,TOPICAL TREATMENT OF PRIMARY AXILLARY HYPERHIDROSIS IN ADULTS AND PEDIATRIC PATIENTS 9 YEARS OF AGE AND OLDER
U-2399,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS 12 YEARS AND OLDER, WITH A F508DEL OR G551D CFTR GENE MUTATION AND A A455E, 2789+5G->A, OR 3849+10KBC->T MUTATION, COMPRISING CONCURRENT COADMINISTRATION OF THE COMPOSITIONS OF CLAIM 1 OF U.S PATENT 10058546"
U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST
U-240,TREATMENT OF ACUTE MIGRAINE ATTACKS
U-2400,REDUCING ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN-ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-2401,"A METHOD OF TREATING AMYOTROPHIC LATERAL SCLEROSIS IN A PATIENT IN NEED OF SUCH TREATMENT, SAID METHOD COMPRISING ADMINISTERING TO SAID PATIENT AN EFFECTIVE AMOUNT OF A SUSPENSION ACCORDING TO CLAIM 1"
U-2402,TREATMENT OF SCHIZOPHRENIA BY RAPID AND CONTINUOUS INTRAMUSCULAR INJECTION
U-2403,TREATMENT OF PSORIASIS USING A DOSAGE TITRATION SCHEDULE
U-2404,METHOD OF DELIVERING SUMATRIPTAN TO A NASAL CAVITY
U-2405,A METHOD FOR TREATING A BACTERIAL INFECTION IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE
U-2406,A METHOD FOR TREATING A PATIENT 9 YEARS OF AGE AND OLDER SUFFERING FROM AN INFLAMMATORY SKIN DISORDER OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE
U-2407,A METHOD FOR TREATING ACNE IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE CRYSTALLINE SALT
U-2408,A METHOD FOR TREATING A BACTERIAL INFECTION IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE CRYSTALLINE SALT
U-2409,"A METHOD FOR TREATING ACNE IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING SARECYCLINE HYDROCHLORIDE IN 60 MG, 100 MG OR 150 MG EQUIVALENT DOSES"
U-241,"FOR SHORT-TERM TREATMENT ACTIVE DUODENAL ULCER, MAINTENANCE THERAPY FOR DUODENAL ULCER PATIENTS AT REDUCED DOSAGE AFTER HEALING OF ACTIVE ULCER, SHORT-TERM TREATMENT ACTIVE BENIGN GASTRIC ULCER & GERD, PATHOLOGICAL HYPERSECRETORY CONDITIONS"
U-2410,TREATMENT OF ADULT PATIENTS FOR WHOM TREATMENT WITH BOTH AMLODIPINE FOR HYPERTENSION AND CELECOXIB FOR OSTEOARTHRITIS ARE APPROPRIATE
U-2411,"TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 12 YEARS OR OLDER WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE TABLET COMPRISING LUMACAFTOR AS RECITED IN CLAIM 1, 19, OR 21 OF U.S. PATENT NO. 10,076,513 AND IVACAFTOR"
U-2412,FOR THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) AND/OR SMALL LYMPHOCYTIC LEUKEMIA (SLL)
U-2413,FOR THE TREATMENT OF PATIENTS WITH FOLLICULAR LYMPHOMA (FL)
U-2414,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS AS PART OF A COMBINATION DRUG REGIMEN
U-2415,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS AS PART OF A COMBINATION ANTIBACTERIAL DRUG REGIMEN
U-2416,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS WITH CYSTIC FIBROSIS AS PART OF A COMBINATION DRUG REGIMEN
U-2417,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN NON-CYSTIC FIBROSIS ADULTS AS PART OF A COMBINATION ANTIBACTERIAL DRUG REGIMEN
U-2418,METHOD OF ADMINISTERING TESTOSTERONE ENANTHATE SUBCUTANEOUSLY
U-2419,METHOD OF OPERATING AN INJECTION DEVICE
U-242,USE OF FOLLITROPIN ALPHA ALONE IN IN-VITRO FERTILIZATION
U-2420,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 12 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,081,621"
U-2421,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2422,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME WHO HAVE BEEN PREVIOUSLY TREATED WITH CLOBAZAM
U-2423,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH DRAVET SYNDROME WHO HAVE BEEN PREVIOUSLY TREATED WITH CLOBAZAM
U-2424,USE IN COMBINATION WITH CLOBAZAM FOR TREATMENT OF SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-2425,USE FOR THE TREATMENT OF CONVULSIVE SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2426,USE FOR THE TREATMENT OF CONVULSIVE SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-2427,USE FOR THE TREATMENT OF DROP SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2428,TREATMENT OF PARTIAL-ONSET SEIZURES WITH OR WITHOUT SECONDARILY GENERALIZED SEIZURES IN PATIENTS WITH EPILEPSY 4 YEARS OF AGE AND OLDER
U-2429,TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY 12 YEARS OF AGE AND OLDER
U-243,TOPICAL ADMINISTRATION
U-2430,TREATMENT OF POLYNEUROPATHY OF HEREDITARY TRANSTHYRETIN AMYLOIDOSIS
U-2431,"TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS"
U-2432,"LONG-TERM, MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)"
U-2433,"METHOD OF TREATING A BIOLOGICAL RHYTHM DISORDER, SUCH AS INSOMNIA"
U-2434,USE IN COMBINATION WITH LENALIDOMIDE AND DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
U-2435,"REDUCTION OF RISK OF MAJOR CARDIOVASCULAR EVENTS (CV DEATH, MI, AND STROKE) IN CHRONIC CAD OR PAD"
U-2436,USE IN THE TREATMENT OF MAJOR DEPRESSIVE DISORDER TO IMPROVE TREATMENT EMERGENT SEXUAL DYSFUNCTION (TESD) INDUCED BY PRIOR SEROTONIN REUPTAKE INHIBITOR TREATMENT
U-2437,TREATMENT OF ADULT PATIENTS WITH DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE BREAST CANCER SUSCEPTIBILITY GENE (BRCA)-MUTATED (GBRCAM) HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE LOCALLY ADVANCED OR METASTATIC BREAST CANCER
U-2438,CARDIOVASCULAR OUTCOMES TRIAL OF LIRAGLUTIDE 1.8 MG IN PATIENTS WITH TYPE 2 DIABETES AND CARDIOVASCULAR DISEASE
U-2439,"TREATMENT OF MENOPAUSE SYMPTOMS, INCLUDING VASOMOTOR SYMPTOMS"
U-244,PLATELET AGGREGATION INHIBITORS
U-2440,FOR THE MAINTENANCE TREATMENT OF PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2441,REDUCTION OF RISK OF MAJOR ADVERSE CARDIOVASCULAR EVENTS IN THE TREATMENT OF TYPE 2 DIABETES MELLITUS PATIENTS
U-2442,USE FOR THE TREATMENT OF ATONIC SEIZURES IN PATIENTS WITH LENNOX-GASTAUT SYNDROME
U-2443,USE FOR THE TREATMENT OF ATONIC SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2444,TREATMENT OF SUBJECTS HAVING BACTERIAL SKIN OR SKIN STRUCTURE INFECTION
U-2445,"TREATMENT IN COMBINATION WITH AZACITIDINE OR DECITABINE OR LOW-DOSE CYTARABINE OF NEWLY-DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) IN ADULTS WHO ARE AGE 75 YEARS OR OLDER, OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY"
U-2446,"TREATMENT OF ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL), WITH OR WITHOUT 17P DELETION, WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY"
U-2447,TREATMENT OF SEVERE HYPERTRIGLYCERIDEMIA (500 MG/DL) IN ADULT PATIENTS AS AN ADJUNCT TO DIET
U-2448,TREATMENT OF TRAVELERS' DIARRHEA CAUSED BY NON-INVASIVE STRAINS OF ESCHERICHIA COLI IN ADULTS
U-2449,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTION
U-245,TREATMENT OF SEBORRHEA DERMATITIS IN HUMANS
U-2450,POSITRON EMISSION TOMOGRAPHY DIAGNOSTIC AGENT IN ADULTS WITH SUSPECTED PROSTATE CANCER RECURRENCE BASED ON ELEVATED BLOOD PROSTATE SPECIFIC ANTIGEN LEVELS FOLLOWING PRIOR TREATMENT
U-2451,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 1 YEAR AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-2452,COMBINATION WITH IMMUNOSUPPRESSIVE THERAPY FOR FIRST-LINE TREATMENT OF ADULT AND PEDIATRIC PATIENTS 2 YEARS AND OLDER WITH SEVERE APLASTIC ANEMIA
U-2453,"TREATMENT OF FUNGAL INFECTIONS, INCLUDING BLASTOMYCOSIS, HISTOPLASMOSIS, AND ASPERGILLOSIS"
U-2454,USE FOR THE TREATMENT OF DROP SEIZURES IN PATIENTS WITH LENNOX-GASTAUT SYNDROME
U-2455,USE IN COMBINATION WITH CLOBAZAM FOR TREATMENT OF DROP SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-2456,TREATMENT OF ACUTE MYELOID LEUKEMIA (AML)
U-2457,REINITIATION OF SCHIZOPHRENIA TREATMENT FOLLOWING A MISSED DOSE MORE THAN 9 MONTHS AGO
U-2458,REINITIATION OF SCHIZOPHRENIA TREATMENT FOLLOWING A MISSED DOSE 4-9 MONTHS AGO
U-2459,"TREATMENT OF DYSKINESIA AND DECREASING OFF TIME IN PATIENTS WITH PARKINSON'S DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
U-246,PHOSPHATE BINDING
U-2460,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF CORONARY ARTERY BYPASS GRAFT IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2461,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF CARDIOVASCULAR BYPASS GRAFT AND VASCULATURE IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2462,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF VESSEL WITH ARTERIOVENOUS MALFORMATION IN VASCULAR,  GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2463,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION IN SURGICAL FLAPS IN VASCULAR,  GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2464,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF TRANSPLANTED ORGAN OR ATTACHED VESSEL IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2465,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF VESSEL GRAFT IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2466,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF DONOR ORGAN OR ATTACHED VESSEL IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2467,VISUALIZATION OF EXTRAHEPATIC BILIARY DUCT ATTACHED TO DONOR ORGAN IN PATIENTS 12 YEARS AND OLDER
U-2468,VISUALIZATION OF EXTRAHEPATIC BILIARY DUCT ATTACHED TO TRANSPLANTED ORGAN IN PATIENTS 12 YEARS AND OLDER
U-2469,METHOD OF TREATING CANCEROUS SOLID TUMORS
U-247,TREATMENT OF RHEUMATOID ARTHRITIS
U-2470,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION
U-2471,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK FUSION GENE IN A PEDIATRIC PATIENT
U-2472,"METHOD OF TREATING NEUROBLASTOMA, GLIOMA, THYROID, AND BREAST CANCER SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION"
U-2473,"METHOD OF TREATING CMN, IFS, HGG, DIPGS, PTC, SOFT TISSUE SARCOMA, AND SPINDLE CELL SARCOMA SOLID TUMORS EXHIBITING AN NTRK GENE FUSION IN A PEDIATRIC PATIENT WITH AN ORAL SOLUTION"
U-2474,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION AFTER SURGICAL RESECTION
U-2475,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK GENE FUSION IN A PEDIATRIC PATIENT
U-2476,USE OF A DELIVERY DEVICE TO DELIVER A DOSE OF NALOXONE
U-2477,TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY AVOIDING THE USE OF TASIMELTEON IN COMBINATION WITH CYP1A2 STRONG INHIBITORS
U-2478,"METHOD FOR THE INDUCTION OF LOCAL ANESTHESIA PRIOR TO PERFORMING A PROCEDURE ON, THROUGH, OR ADJACENT TO THE MUCOUS MEMBRANES"
U-2479,METHOD OF ADMINISTERING A LOCAL ANESTHETIC TO THE MUCOUS MEMBRANES
U-248,TREATMENT OF HIV
U-2480,"MAINTENANCE TREATMENT OF GBRCA- OR SBRCA-MUTATED ADVANCED EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO FIRST-LINE PLATINUM-BASED CHEMOTHERAPY"
U-2481,TREATMENT OF DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE BRCA-MUTATED ADVANCED OVARIAN CANCER WHO HAVE BEEN TREATED WITH THREE OR MORE PRIOR LINES OF CHEMOTHERAPY
U-2482,"TREATMENT OF HR-NEGATIVE, HER-2 NEGATIVE, GBRCA-MUTATED METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN THE NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING"
U-2483,"TREATMENT OF HR-POSITIVE, HER-2 NEGATIVE, GBRCA-MUTATED METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN THE NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING, AND WITH ENDOCRINE THERAPY OR ARE INAPPROPRIATE FOR ENDOCRINE THERAPY"
U-2484,INTERMITTENT TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSON'S DISEASE TREATED WITH CARBIDOPA/LEVODOPA BY INHALATION OF LEVODOPA POWDER PARTICLES
U-2485,INTERMITTENT TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSON'S DISEASE TREATED WITH CARBIDOPA/LEVODOPA BY INHALATION OF LEVODOPA POWDER PARTICLES THROUGH A SINGLE BREATH ACTIVATED STEP
U-2486,INTERMITTENT TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSON'S DISEASE WITH A POWDER INHALER
U-2487,DEXTENZA IS APPROVED FOR THE TREATMENT OF OCULAR PAIN FOLLOWING OPHTHALMIC SURGERY
U-2488,TREATMENT OF PATIENTS WITH HEPATOCELLULAR CARCINOMA (HCC) WHO HAVE BEEN PREVIOUSLY TREATED WITH SORAFENIB
U-2489,TREATMENT OF MODERATE TO SEVERE OPIOID USE DISORDER
U-249,METHOD OF TREATING ALLERGIC OR NON-ALLERGIC RHINITIS IN PATIENTS BY ADMINISTERING AEROSOLIZED PARTICLES OF MOMETASONE FUROATE
U-2490,"TREATMENT OF COMPLICATED URINARY TRACT INFECTION (CUTI) INCLUDING PYELONEPHRITIS CAUSED BY THE FOLLOWING SUSCEPTIBLE MICROORGANISMS: ESCHERICHIA COLI, KLEBSIELLA PNEUMONIA, AND ENTEROBACTER CLOACAE SPECIES COMPLEX"
U-2491,A METHOD FOR DELIVERING A COMPOSITION TO A MUCUS MEMBRANE
U-2492,A METHOD FOR DELIVERING A PHARMACEUTICAL AGENT ACROSS A MUCOSAL BARRIER
U-2493,A METHOD FOR TREATING INFLAMMATION AND/OR OTHER DISORDERS IN AN EYE OF A PATIENT
U-2494,"INDICATED FOR THE TREATMENT OF VENTRICULAR ARRHYTHMIAS, SUCH AS SUSTAINED VENTRICULAR TACHYCARDIA, THAT IN THE JUDGEMENT OF THE PHYSICIAN ARE LIFE-THREATENING"
U-2495,VENTRICULAR FIBRILLATION
U-2496,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE
U-2497,TREATMENT OF DRUG-INDUCED EXTRAPYRAMIDAL REACTION IN ADULT PATIENTS
U-2498,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 12 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,206,877"
U-2499,METHOD OF REDUCING ADVERSE EFFECTS IN PATIENTS SUFFERING FROM EXCESSIVE DAYTIME SLEEPINESS AND/OR CATAPLEXY IN NARCOLEPSY WHO ARE CONCOMITANTLY ADMINISTERED SODIUM OXYBATE AND DIVALPROEX SODIUM
U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS
U-250,TREATMENT OF HEPATITIS B INFECTION
U-2500,USE OF A DELIVERY DEVICE TO DELIVER A BIOEQUIVALENT DOSE OF A NALOXONE COMPOSITION VIA A NEEDLE
U-2501,TREATMENT OF PARTIAL-ONSET SEIZURES
U-2502,TREATMENT OF TREATMENT-RESISTANT DEPRESSION IN ADULT IN CONJUNCTION WITH AN ORAL ANTIDEPRESSANT
U-2503,"TREATMENT OF ADULTS WITH METASTATIC GASTRIC OR GJA PREVIOUSLY TREATED WITH AT LEAST TWO PRIOR LINES OF CHEMOTHERAPY THAT INCLUDED A FLUOROPYRIMIDINE, A PLATINUM, EITHER A TAXANE OR IRINOTECAN, AND IF APPROPIATE, HER2/NEU-TARGETED THERAPY"
U-2504,"TREATMENT OF HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER IN POSTMENOPAUSAL WOMEN IN COMBINATION WITH RIBOCICLIB AS INITIAL ENDOCRINE BASED THERAPY OR FOLLOWING DISEASE PROGRESSION ON ENDOCRINE THERAPY"
U-2505,"TREATMENT OF PRE/PERIMENOPAUSAL WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER"
U-2506,METHOD OF TREATING TESTOSTERONE DEFICIENCY
U-2507,METHOD OF TREATING ACUTE BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS (ABSSSI) CAUSED BY DESIGNATED SUSCEPTIBLE BACTERIA
U-2508,"A METHOD OF TREATING BACTERIAL INFECTIONS IN COMPLICATED INTRA-ABDOMINAL INFECTION AND COMPLICATED URINARY TRACT INFECTION, INCLUDING PYELONEPHRITIS, PATIENTS COMPRISING ADMINISTERING A BACTERICIDALLY EFFECTIVE AMOUNT OF AVIBACTAM SODIUM"
U-2509,"A METHOD OF TREATING A BACTERIAL INFECTION IN COMPLICATED INTRA-ABDOMINAL INFECTION (CIAI) AND COMPLICATED URINARY TRACT INFECTION (CUTI), INCLUDING PYELONEPHRITIS, PATIENTS COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF AVIBACTAM SODIUM"
U-251,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES
U-2510,A METHOD FOR CONTRACEPTION COMPRISING THE STEP OF ORAL ADMINISTRATION A DOSAGE OF 20 MG TO 30 MG OF ULIPRISTAL ACETATE TO A WOMAN WITHIN 72 HOURS AND UP TO 120 HOURS AFTER AN UNPROTECTED INTERCOURSE
U-2511,A METHOD OF TREATING MULTIPLE SCLEROSIS BY ADMINISTERING SIPONIMOD USING A TITRATION SCHEME TO REACH A MAINTENANCE DOSE
U-2512,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVE AT LEAST ONE CFTR MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH AN EFFECTIVE AMOUNT OF TEZACAFTOR AND IVACAFTOR"
U-2513,MAINTENANCE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2514,MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2515,"PALBOCICLIB FOR HR-POS. HER2-NEG. ADVANCED OR METASTATIC BREAST CANCER IN COMBO WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE-BASED THERAPY IN POSTMENOPAUSAL WOMEN OR MEN, OR WITH FULVESTRANT IN PTS WITH DISEASE PROGRESSION AFTER ENDOCRINE THERAPY"
U-2516,A METHOD FOR REDUCING SERUM GLUCOSE LEVELS IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-2517,A METHOD FOR REDUCING SERUM GLUCOSE LEVELS IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-2518,TREATMENT OF ADULTS WITH LOCALLY ADVANCED OR METASTATIC UROTHELIAL CARCINOMA THAT HAS SUSCEPTIBLE FGFR3 OR FGFR2 GENETIC ALTERATIONS AND PROGRESSED DURING OR FOLLOWING PRIOR PLATINUM-CONTAINING CHEMOTHERAPY
U-2519,TREATMENT OF ADULT PATIENTS WITH MANTLE CELL LYMPHOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY BY ADMINISTERING 100 MG OF ACALABRUTINIB TWICE DAILY
U-252,METHOD OF TREATING A HUMAN SUBJECT HAVING GAUCHER'S DISEASE
U-2520,TREATING MS WITH ORAL CLADRIBINE ACC. TO THE STEPS (I) INDUCTION PERIOD WITH ABOUT 1.7 MG/KG-3.5 MG/KG CLADRIBINE; (II) CLADRIBINE-FREE PERIOD OF ABOUT 8-10 MONTHS; (III) MAINTENANCE PERIOD WITH ABOUT 1.7 MG/KG CLADRIBINE; (IV) CLADRIBINE-FREE PERIOD
U-2521,"TREATMENT OF MS WITH A TABLET WITH AN ADMIXTURE OF (A) AN AMORPHOUS INCLUSION COMPLEX OF CLADRIBINE AND HYDROXYPROPYL-B-CYCLODEXTRIN AND (B) AMORPHOUS FREE CLADRIBINE AND CYCLODEXTRIN AS A NON-INCLUSION COMPLEX, CLADRIBINE/CYCLODEXTRIN 1:10-1:16 W/W"
U-2522,TREATING RRMS OR SPMS WITH ORAL CLADRIBINE: (I) 2-4 MONTHS INDUCTION WITH 1.7 MG/KG - 3.5 MG/KG CLADRIBINE; (II) CLADRIBINE-FREE PERIOD OF ABOUT 8-10 MONTHS; (III) 2-4 MONTHS MAINTENANCE WITH ABOUT 1.7 MG/KG CLADRIBINE; (IV) CLADRIBINE-FREE PERIOD
