authors,originalPublicationYear,originalTitle,title,languageCode
Andrzej Sapkowski,1996,Chrzest ognia,"Chrzest ognia (Saga o Wiedźminie, #5)",pol
"James Patterson, Richard DiLallo",2009,Alex Cross's Trial,"Alex Cross's Trial (Alex Cross, #15)",eng
"Ori Brafman, Rom Brafman",2008,Sway: The Irresistible Pull of Irrational Behavior,Sway: The Irresistible Pull of Irrational Behavior,en-US
"Marguerite Henry, Wesley Dennis",1948,King of the Wind: The Story of the Godolphin Arabian,King of the Wind: The Story of the Godolphin Arabian,eng
Sam Harris,2014,Waking Up: A Guide to Spirituality Without Religion,Waking Up: A Guide to Spirituality Without Religion,eng
Jack London,1906,"The Call of the Wild, White Fang and Other Stories ","The Call of the Wild, White Fang and Other Stories",eng
Iris Chang,1997,The Rape of Nanking: The Forgotten Holocaust of World War II,The Rape of Nanking,eng
Jerry A. Coyne,2008,Why Evolution Is True,Why Evolution Is True,
Annie Proulx,1997,Brokeback Mountain,Brokeback Mountain,en-US
Susan Elizabeth Phillips,1997,Nobody's Baby But Mine,"Nobody's Baby But Mine (Chicago Stars, #3)",eng
Lisa Scottoline,2014,Keep Quiet,Keep Quiet,eng
Jeffrey Archer,2002,Sons of Fortune,Sons of Fortune,eng
"Jostein Gaarder, Sarah Jane Hails",1990,Kabalmysteriet,The Solitaire Mystery: A Novel About Family and Destiny,eng
Jen Sincero,2013,,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,
Jill Mansell,2009,Rumor Has it,Rumour Has It,eng
Dean Koontz,1993,Dragon Tears,Dragon Tears,
Iain M. Banks,2010,Surface Detail,Surface Detail (Culture #9),eng
Nicky Charles,2010,The Mating,"The Mating  (Law of the Lycans, #2)",eng
Conn Iggulden,2002,The Gates of Rome,"The Gates of Rome (Emperor, #1)",eng
"Kurtis J. Wiebe, Roc Upchurch",2014,,"Rat Queens, Vol. 1: Sass & Sorcery",eng
Agatha Christie,1975,Curtain: Poirot’s Last Case,"Curtain (Hercule Poirot, #39)",eng
Lian Hearn,2003,Grass for His Pillow ,"Grass for His Pillow (Tales of the Otori, #2)",
Laurell K. Hamilton,2008,Swallowing Darkness,"Swallowing Darkness (Merry Gentry, #7)",en-US
Laurelin Paige,2014,,"The Fixed Trilogy (Fixed, #1-3)",eng
Edan Lepucki,2014,California,California,eng
"Stephen Briggs, Terry Pratchett",1992,,Guards! Guards!: The Play,en-GB
Mo Willems,2004,The Pigeon Finds a Hot Dog!,The Pigeon Finds a Hot Dog!,en-US
Chuck Wendig,2015,Aftermath,"Aftermath (Star Wars: Aftermath, #1)",eng
Ellen Schreiber,2006,"Vampireville (Vampire Kisses, #3)","Vampireville (Vampire Kisses, #3)",en-GB
Agatha Christie,1938,Hercule Poirot's Christmas,"Hercule Poirot's Christmas (Hercule Poirot, #20)",eng
Jennifer Chiaverini,2013,Mrs. Lincoln's Dressmaker,Mrs. Lincoln's Dressmaker,eng
Safiy al-Rahman al-Mubarakfuri,1979, الرحيق المختوم: بحث في السيرة النبوية على صاحبها أفضل الصلاة والسلام ,الرحيق المختوم,ara
Sarah McCoy,2012,The Baker's Daughter,The Baker's Daughter,eng
J.R. Ward,2015,The Shadows,"The Shadows (Black Dagger Brotherhood, #13)",en-US
"Trina Schart Hyman, Johann Grimm, Wilhelm Grimm",1983,Rotkäppchen,Little Red Riding Hood,eng
Dav Pilkey,1999,Captain Underpants and the Attack of the Talking Toilets,"Captain Underpants and the Attack of the Talking Toilets (Captain Underpants, #2)",en-GB
"Martin Pistorius, Megan Lloyd Davies",2011,Ghost Boy,Ghost Boy,eng
Greg McKeown,2014,Essentialism: The Disciplined Pursuit of Less,Essentialism: The Disciplined Pursuit of Less,eng
Philippa Gregory,1987,Wideacre,"Wideacre  (The Wideacre Trilogy, #1)",eng
"Roald Dahl, Quentin Blake",1966,,The Magic Finger (Young Puffin Developing Reader),eng
Lisa Renee Jones,2012,If I were you,"If I Were You (Inside Out, #1)",eng
L.A. Fiore,2012,Beautifully Damaged,"Beautifully Damaged (Beautifully Damaged, #1)",eng
Samantha Towle,2013,Wethering the Storm,"Wethering the Storm (The Storm, #2)",eng
"René Descartes, Donald A. Cress",1641,Meditationes de prima philosophia,Meditations on First Philosophy,eng
Enid Blyton,1939,The Enchanted Wood,"The Enchanted Wood (The Faraway Tree, #1)",eng
Sandi Lynn,2013,Forever Black,"Forever Black (Forever, #1)",eng
Henry James,1878,Daisy Miller,Daisy Miller,
Lauren Groff,2012,Arcadia,Arcadia,eng
Dorothy Kunhardt,1940,Pat the Bunny (Touch and Feel Book),Pat the Bunny,
Melanie Benjamin,2016,The Swans of Fifth Avenue,The Swans of Fifth Avenue,eng
"CLAMP, Maria Simpson",1996,カードキャプターさくら,"Cardcaptor Sakura, Vol. 1 (Cardcaptor Sakura, #1)",eng
Meg Cabot,2006,Size 14 Is Not Fat Either,"Size 14 Is Not Fat Either (Heather Wells, #2)",eng
Ree Drummond,2011,,The Pioneer Woman Cooks: Food from My Frontier ,eng
Shelly Crane,2011,Defiance,"Defiance (Significance, #3)",eng
Dian Fossey,1983,Gorillas in the Mist,Gorillas in the Mist,en-US
"Jeffery Hudson, Michael Crichton",1968,A Case of Need,A Case of Need,en-US
Adelle Waldman,2013,The Love Affairs of Nathaniel P. ,The Love Affairs of Nathaniel P.,en-CA
"P.C. Cast, Kristin Cast",2013,Revealed,"Revealed (House of Night, #11)",eng
Matthew Norman,2016,,We're All Damaged,eng
Linda Castillo,2009,Sworn to Silence,"Sworn to Silence (Kate Burkholder, #1)",eng
Ilona Andrews,2014,Magic Breaks,"Magic Breaks (Kate Daniels, #7)",eng
"Anton Chekhov, Michael Frayn",1895,Чайка,The Seagull,eng
"Haruki Murakami, 村上 春樹",2010,1Q84 Book 3 [Ichi-kyū-hachi-yon],"1Q84 BOOK 3 (1Q84, #3)",jpn
Meg Cabot,2004,Boy Meets Girl,"Boy Meets Girl (Boy, #2)",eng
Louise Rennison,2002,Dancing in my nuddy-pants!,"Dancing in My Nuddy-Pants (Confessions of Georgia Nicolson, #4)",eng
Robert A. Heinlein,1957,The Door into Summer,The Door Into Summer,eng
Julie Anne Peters,2004,Luna,Luna,en-US
Alice Munro,2004,Runaway,Runaway,eng
Iain M. Banks,2008,Matter,"Matter (Culture, #8)",eng
Mia Sheridan,2013,Leo,Leo,eng
E.M. Forster,1971,Maurice,Maurice,eng
"J.D. Robb, Susan Ericksen",2011,New York to Dallas,"New York to Dallas (In Death, #33)",eng
Ira Levin,1972,The Stepford Wives,The Stepford Wives,eng
Cornelius Ryan,1959,The Longest Day,The Longest Day,eng
Janet Evanovich,2006,Motor Mouth,Motor Mouth (Alex Barnaby #2),en-US
D.J. MacHale,2003,The Reality Bug,"The Reality Bug (Pendragon, #4)",eng
David Baldacci,2009,True Blue,True Blue,eng
"Raymond E. Feist, Janny Wurts",1992,"Mistress of the Empire (The Empire Trilogy, #3)","Mistress of the Empire (The Empire Trilogy, #3)",en-US
C.J. Redwine,2012,Defiance,Defiance (Defiance #1),eng
Elin Hilderbrand,2014,Winter Street,"Winter Street (Winter, #1)",eng
"Carolyn Keene, Mildred Benson",1930,"The Hidden Staircase (Nancy Drew Mystery Stories, #2)",The Hidden Staircase (Nancy Drew #2),en-US
Taylor Caldwell,1972,Captains and the Kings,Captains and the Kings,eng
Daniel Silva,2012,The Fallen Angel,"The Fallen Angel (Gabriel Allon, #12)",eng
J.K. Rowling,2003,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",
Karen Kingsbury,2003,One Tuesday Morning,"One Tuesday Morning (9/11, #1)",eng
Laurell K. Hamilton,2011,Hit List,"Hit List (Anita Blake, Vampire Hunter #20)",eng
"Stephen Briggs, Terry Pratchett",1995,Interesting Times,Interesting Times: The Play,eng
Mariana Zapata,2016,The Wall of Winnipeg and Me,The Wall of Winnipeg and Me,eng
Mary Higgins Clark,1995,Let Me Call You Sweetheart,Let Me Call You Sweetheart,eng
Joseph Wambaugh,1973,The Onion Field,The Onion Field,
Kathy Reichs,2006,Break No Bones,"Break No Bones (Temperance Brennan, #9)",en-US
Kelly McGonigal,2011,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It","The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",eng
Richard K. Morgan,2003,Broken Angels,"Broken Angels (Takeshi Kovacs, #2)",eng
Karin Slaughter,2007,Beyond Reach,"Beyond Reach (Grant County, #6)",eng
John Scalzi,2011,Fuzzy Nation,Fuzzy Nation,en-US
Sue Grafton,1992,I is for Innocent,"I is for Innocent (Kinsey Millhone, #9)",en-US
Thomas Pynchon,1963,V.,V.,fre
"Joseph Conrad, A. Michael Matin",1899,,Heart of Darkness and Selected Short Fiction,en-US
"Bertrand Russell, Paul  Edwards",1927,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Why I Am Not a Christian and Other Essays on Religion and Related Subjects,eng
Alain de Botton,2002,The Art of Travel,The Art of Travel,
Paullina Simons,2006,"Tatiana and Alexander (The Bronze Horseman, #2)","The Summer Garden (The Bronze Horseman, #3)",eng
James Patterson,2015,Cross Justice,"Cross Justice (Alex Cross, #23)",
"Heinrich Böll, محمد اسماعیل‌زاده",1963,Ansichten eines Clowns,عقاید یک دلقک,per
Laura McHugh,2014,The Weight of Blood,The Weight of Blood,eng
Julia Quinn,2004,When He was Wicked,"When He was Wicked (Bridgertons, #6)",eng
Sue Grafton,2011,V is for Vengeance,"V is for Vengeance (Kinsey Millhone, #22)",en-US
Margaret Peterson Haddix,2002,Among the Betrayed,"Among the Betrayed (Shadow Children, #3)",en-US
William Gibson,2007,Spook Country,"Spook Country (Blue Ant, #2)",en-US
"Anonymous, Richard Wilhelm, Cary F. Baynes, C.G. Jung",-750,易 [Yì],The I Ching or Book of Changes,eng
John Buchan,1915,The Thirty-Nine Steps,"The 39 Steps (Richard Hannay, #1)",
Joan Didion,2011,Blue Nights,Blue Nights,eng
Peter Watts,2006,Blindsight,"Blindsight (Firefall, #1)",eng
Nick Offerman,2013,,Paddle Your Own Canoe: One Man's Fundamentals for Delicious Living,eng
"Scott Snyder, Stephen King, Rafael Albuquerque",2010,"American Vampire, Volume 1","American Vampire, Vol. 1",eng
John Sandford,2008,Heat Lightning,"Heat Lightning (Virgil Flowers, #2)",eng
"Alexis de Tocqueville, Isaac Kramnick, Gerald Bevan",1835,De la démocratie en Amérique,Democracy in America ,eng
Harlan Coben,1996,Drop Shot,Drop Shot (Myron Bolitar #2),eng
Darren Shan,2002,"The Lake of Souls (Cirque Du Freak, #10)","The Lake of Souls (Cirque Du Freak, #10)",
A. Meredith Walters,2012,Find You in the Dark,"Find You in the Dark (Find You in the Dark, #1)",eng
Erica Bauermeister,2009,The School of Essential Ingredients,The School of Essential Ingredients,en-US
Amy A. Bartol,2011,,"Intuition (The Premonition, #2)",en-US
Bernard Cornwell,2008,Azincourt ,Azincourt,en-GB
Roddy Doyle,1993,Paddy Clarke Ha Ha Ha,Paddy Clarke Ha Ha Ha,
Anne Tyler,1982,Dinner at the Homesick Restaurant,Dinner at the Homesick Restaurant,eng
V.C. Andrews,1985,Heaven,"Heaven (Casteel, #1)",eng
Jenny Nimmo,2006,"Charlie Bone and the Hidden King (The Children of the Red King, # 5)","Charlie Bone and the Hidden King (The Children of the Red King, #5)",
Martin Amis,1984,Money,Money,en-GB
John Sandford,1998,Secret Prey,"Secret Prey (Lucas Davenport, #9)",en-GB
"Chris Ryall, Gabriel Rodríguez, Clive Barker",1989,Clive Barker's The Great and Secret Show: Volume 1 (Clive Barker's the Great and Secret Show),The Complete Clive Barker's The Great And Secret Show,eng
Arthur Conan Doyle,1917,His Last Bow: Some Reminiscences of Sherlock Holmes,His Last Bow: 8 Stories,eng
"Brian Herbert, Kevin J. Anderson",1999,Dune: House Atreides,House Atreides (Prelude to Dune #1),eng
Diana Wynne Jones,1977,Charmed Life ,"Charmed Life (Chrestomanci, #1)",eng
Charles Dickens,1837,The Posthumous Papers of the Pickwick Club,The Pickwick Papers,eng
Joseph O'Neill,2008,Netherland,Netherland,eng
Steve Berry,2004,The Romanov Prophecy,The Romanov Prophecy,eng
Larissa Ione,2010,Ecstasy Unveiled,Ecstasy Unveiled (Demonica #4),eng
Alan Bennett,2007,The Uncommon Reader ,The Uncommon Reader,eng
"Franz Kafka, بهرام مقدادی",1927,Amerika,Amerika,eng
"Steve Niles, Ben Templesmith",2001,30 Days of Night,"30 Days of Night, Vol. 1",
Erin Hunter,2006,Sunset,"Sunset (Warriors: The New Prophecy, #6)",en-US
"يوسف زيدان, Youssef Ziedan",2010,النبطي,النبطي,ara
Hillary Jordan,2011,When She Woke,When She Woke,eng
Sidney Sheldon,1970,The Naked Face,The Naked Face,eng
Meg Cabot,2006,Princess in Training,"Princess in Training (The Princess Diaries, #6)",
"Christopher Hitchens, Titus Lucretius Carus, Omar Khayyám, Thomas Hobbes, Baruch Spinoza, David Hume, James Boswell, Percy Bysshe Shelley, George Eliot, Charles Darwin, Leslie Stephen, Anatole France, Mark Twain, Joseph Conrad, Thomas Hardy, Emma Goldman, H.P. Lovecraft, Carl Van Doren, H.L. Mencken, Sigmund Freud, Albert Einstein, George Orwell, John Betjeman, Chapman Cohen, Bertrand Russell, Philip Larkin, Martin Gardner, Carl Sagan, John Updike, John Leslie Mackie, Michael Shermer, A.J. Ayer, Daniel C. Dennett, Charles Templeton, Richard Dawkins, Victor J. Stenger, Elizabeth S.  Anderson, Penn Jillette, Ian McEwan, Steven Weinberg, Salman Rushdie, Ibn Warraq, Sam Harris, A.C. Grayling, Ayaan Hirsi Ali, John Stuart Mill, Karl Marx",2007,The Portable Atheist: Essential Readings for the Non-believer,The Portable Atheist: Essential Readings for the Nonbeliever,eng
Larissa Ione,2010,Sin Undone,Sin Undone (Demonica #5),eng
Fritjof Capra,1975,The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,eng
Madeline Sheehan,2013,,"Unbeautifully (Undeniable, #2)",eng
Kathryn Croft,2015,The Girl With No Past,The Girl With No Past,en-US
Jeff VanderMeer,2014,Acceptance,"Acceptance (Southern Reach, #3)",eng
Kristen Ashley,2011,Lady Luck,"Lady Luck (Colorado Mountain, #3)",eng
Elizabeth Eulberg,2010,The Lonely Hearts Club,"The Lonely Hearts Club (The Lonely Hearts Club, #1)",eng
Julie Garwood,1999,Ransom,"Ransom (Highlands' Lairds, #2)",en-US
Agatha Christie,1927,The Big Four,"The Big Four (Hercule Poirot, #5)",eng
Agatha Christie,1932,Peril at End House,"Peril at End House (Hercule Poirot, #8)",eng
Renée Knight,2015,Disclaimer,Disclaimer,eng
Veronica Roth,2012,,"The Divergent Series 2-Book Collection (Divergent, #1-2)",eng
"Umberto Eco, Richard Dixon",2010,Il cimitero di Praga,The Prague Cemetery,en-US
Yann Martel,2010,Beatrice and Virgil,Beatrice and Virgil,eng
Hiroyuki Takei,1998,シャーマンキング 1,"Shaman King, Vol. 1: A Shaman in Tokyo",eng
Robert Jordan,1990,"Eye of the World (The Wheel of Time, #1-1)","From the Two Rivers: The Eye of the World, Part 1 (Wheel of time, #1-1)",eng
Michio Kaku,1994,"Hyperspace: A Scientific Odyssey Through Parallel Universes, Time Warps, and the Tenth Dimension",Hyperspace,eng
Steven Pinker,1997,How the Mind Works,How the Mind Works,eng
Bella Forrest,2013,,"A Castle of Sand (A Shade of Vampire, #3)",eng
Karen Kingsbury,2011,Leaving,"Leaving (Bailey Flanigan, #1)",en-US
Ian Fleming,1954,Live and Let Die,"Live and Let Die (James Bond, #2)",eng
Kate Egan,2012,,The World of the Hunger Games (Hunger Games Trilogy),en-US
"John Stuart Mill, George Sher",1861,Utilitarianism,Utilitarianism,eng
Andrew  Smith,2013,Winger,"Winger (Winger, #1)",eng
Mitch Albom,2012,The Magic Strings of Frankie Presto,The Magic Strings of Frankie Presto,eng
Robin Hobb,2015,Fool's Quest,"Fool's Quest  (The Fitz and The Fool, #2)",eng
Jack Finney,1955,The Body Snatchers,Invasion of the Body Snatchers,eng
Melvin Burgess,1996,Junk,Smack,en-US
"Bill O'Reilly, Martin Dugard",2014,Killing Patton: The Strange Death of World War II's Most Audacious General,Killing Patton: The Strange Death of World War II's Most Audacious General,eng
"Keigo Higashino, Alexander O. Smith",2005,容疑者Xの献身 [Yōgisha X no kenshin],The Devotion of Suspect X,
Jenny Nimmo,2003,Charlie Bone and the Time Twister ,"Charlie Bone and the Time Twister (The Children of the Red King, #2)",
Irvine Welsh,2005,Porno,Porno,
Jenny Nimmo,2004,"Charlie Bone and the Invisible Boy (The Children of the Red King, # 3)","Charlie Bone and the Invisible Boy (The Children of the Red King, #3)",eng
Hugh Howey,2012,First Shift: Legacy,"First Shift: Legacy (Shift, #1)",eng
"James Patterson, Michael Ledwidge",2010,Worst Case,"Worst Case (Michael Bennett, #3)",eng
Daniel Silva,1996,The Unlikely Spy,The Unlikely Spy,eng
Ellen Schreiber,2009,"Royal Blood (Vampire Kisses, #6)","Royal Blood (Vampire Kisses, #6)",eng
Neale Donald Walsch,1996,"Conversations with God, an uncommon dialogue, book 3","Conversations With God: An Uncommon Dialogue, Book 3",eng
Patti Smith,2015,M Train,M Train,eng
Louise Erdrich,1984,Love Medicine,Love Medicine,en-US
Brad Meltzer,2011,The Inner Circle,"The Inner Circle (Culper Ring, #1)",eng
Jessica Day George,2006,"Dragon Slippers (Dragon Slippers, #1)","Dragon Slippers (Dragon Slippers, #1)",en-US
Carrie Fisher,2016,The Princess Diarist,The Princess Diarist,eng
Steven Erikson,2011,The Crippled God,"The Crippled God (The Malazan Book of the Fallen, #10)",eng
Rachel Renée Russell,2012,Tales From a Not-So-Graceful Ice Princess,"Tales from a Not-So-Graceful Ice Princess (Dork Diaries, #4)",
Lisa McMann,2010,Gone ,"Gone (Wake, #3)",eng
"Brian K. Vaughan, Niko Henrichon",2006,Pride of Baghdad,Pride of Baghdad,eng
Michel Houellebecq,2015,Soumission ,Soumission,fre
Jon Krakauer,1990,Eiger Dreams: Ventures Among Men and Mountains,Eiger Dreams: Ventures Among Men and Mountains,
Richard K. Morgan,2005,Woken Furies,"Woken Furies (Takeshi Kovacs, #3)",eng
Amish Tripathi,2015,,"Scion of Ikshvaku (RamChandra, #1)",eng
Gail Carriger,2010,Blameless,"Blameless (Parasol Protectorate, #3)",eng
Jenny McCarthy,2004,Belly Laughs: The Naked Truth About Pregnancy and Childbirth,Belly Laughs: The Naked Truth About Pregnancy and Childbirth,
Clive Barker,1991,Imajica,Imajica,eng
William Zinsser,1976,On Writing Well: The Classic Guide to Writing Nonfiction,On Writing Well: The Classic Guide to Writing Nonfiction,eng
Thomas A. Harris,1967,I'm OK-You're OK,I'm OK - You're OK,en-US
Mario Puzo,1984,The Sicilian,The Sicilian,eng
Patricia Briggs,2016,Fire Touched,"Fire Touched (Mercy Thompson, #9)",eng
Maeve Binchy,1992,The Copper Beech,The Copper Beech,eng
"Jane Werner Watson, Corinne Malvern",1950,Frosty the Snow Man,Frosty the Snow Man,
S.A. Bodeen,2008,The Compound,"The Compound (The Compound, #1)",en-US
James A. Michener,1980,The Covenant,The Covenant,en-GB
Boris Vian,1947,L’écume des jours,L'Écume des jours,fre
Kimberly Derting,2011,The Pledge,"The Pledge (The Pledge, #1)",eng
Nora Roberts,2001,The Villa,The Villa,en-US
Kimberly Lauren,2013,,"Beautiful Broken Rules (Broken, #1)",eng
Christine Feehan,1999,Dark Desire,"Dark Desire (Dark, #2)",en-US
Dan Wells,2013,Fragments,"Fragments (Partials Sequence, #2)",eng
Sarah MacLean,2012,A Rogue by Any Other Name,"A Rogue by Any Other Name (The Rules of Scoundrels, #1)",eng
Martin Heidegger,1927,Sein und Zeit,Being and Time,eng
Ernest Hemingway,1925,In Our Time,In Our Time,
Jonathan Kozol,1991,Savage Inequalities: Children in America's Schools,Savage Inequalities: Children in America's Schools,en-US
