OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200105 (CONTRACT-AARK-KA1HOH),Leeds Flood Alleviation Scheme Phase 2 - Feasibility & Design,City Development,"Leeds Flood Alleviation Scheme Phase 2 
Feasibility and Outline Design 
The completion of all work from scheme appraisal to specimen designs and 
provisionally the provision of Technical Advisory Services during the 
construction stage.",19/09/2016,18/09/2017,19/03/2017,,18/10/2017,0,0,"�617,300.00",�0.00,Please view tab 2 on excel sheet,Anne Sweeting,Not provided,No,Framework,"Flood, Alleviation, Phase 2"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250832,Leeds Housing Concern - Carr Beck Group Homes short term contract,Public Health,Dispersed supported accommodation for women with alcohol misuse support needs.,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�7,620.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250823,Leeds Housing Concern - Oakdale House and Women's Sector short term contract,Public Health,Supported accommodation for female homeless,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�85,332.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,"Housing, Support, Homeless"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250829,Leeds Housing Concern - Sinclair Service short term contract,Public Health,Supported accommodation for people with drug addiction problems.,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�27,833.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250822,Leeds Housing Concern Men's Community Services Short Term contract,Public Health,Supported accommodation for male homeless short term contract,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�49,398.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,"Housing, Support, Homelessness"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN233000,Leeds LED Big Screen - Maintenance,"Projects, Programmes & Procurement Unit",Leeds LED Big Screen - Maintenance,05/07/2016,05/07/2020,05/01/2020,,05/08/2020,N/A,0,"�8,000.00",�0.00,Please view tab 2 on excel sheet,Mr Paul Footitt,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200942 (CONTRACT-ABZT-3E8RW6),Leeds Mindful Employer Initiative,"Projects, Programmes & Procurement Unit",A citywide Mindful Employer Network which encompasses a wider stigma and discrimination of mental illness agenda.  This work includes strategic engagement and a commitment to the national Mindful Employer principles.,01/04/2017,31/03/2018,01/01/2018,,30/04/2018,36,0,"�37,500.00",�0.00,Please view tab 2 on excel sheet,Ms Catherine Ward,Other (waiver),No,N/A,"Mindful, Stigma, Mental illness"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194535 (CONTRACT-9YDJ-A5O0AE),Leeds North Health & Wellbeing Service Pilot (Social Prescribing),Adult Social Care,"The objective of the Social Prescription service is to provide a more 
holistic approach to supporting a person�s health and wellbeing.  The 
service will do this by providing mechanisms for linking service users with 
non-medical sources of support within the community.  The service will 
offer diverse solutions that will assist with the shift in investment from 
acute to primary and community services.  It will aim to break down the 
barriers between GPs, hospitals and the community, physical and mental health 
whilst fostering positive links between the NHS, local authority and third 
sector organisations.  
  
It is envisaged that key areas of support will be 
  
 
  supporting older people to live independently 
  promoting mental wellbeing  
  providing access to wider social and economic support.",14/12/2015,30/09/2017,30/06/2017,,31/10/2017,6,0,"�517,766.00",�0.00,Please view tab 2 on excel sheet,Ms Shazia Nazir,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN216403,Leeds North SEMH Provision,Childrens Services,Leeds North SEMH Provision,14/11/2016,25/05/2018,01/11/2017,,25/06/2018,0,0,"�14,089,785.72",�0.00,Please view tab 2 on excel sheet,Mr Nigel Wilson,RFQ,No,N/A,"North, SEMH"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN244088,Leeds Occupational Health Advisory Service,Public Health,Leeds Occupational Health Advisory Service,01/04/2017,31/03/2018,30/09/2017,,31/05/2018,36,0,"�48,010.00",�0.00,Please view tab 2 on excel sheet,Mrs Kate Daly,RFQ,No,N/A,"Occupational, Health, Advisory"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN251755,Leeds Prospective Adopters Training,Childrens Services,Leeds Prospective Adopters Training,01/04/2017,31/03/2018,01/03/2018,,30/04/2018,0,0,"�18,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,Children
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206648 (CONTRACT-YORE-96VKUR),Leeds schools RE:FIT programme,Childrens Services,"Call-off from existing RE:FIT framework. Energy efficiency works applied to 
schools.",23/09/2013,31/12/2021,31/12/2020,,31/12/2021,0,0,"�475,000.00",�0.00,Please view tab 2 on excel sheet,Steve Hoggart,Not provided,No,N/A,"RE:FIT, Energy, Efficiency"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193937 (CONTRACT-9XAE-S6KMCI),Leeds Sensory Impairment Support Service,Adult Social Care,"The provision of a Sensory Impairment Support Service for Leeds.  The service will support individuals who are deaf, hearing impaired, blind, sight impaired, Deafblind or have Dual Sensory Loss.",01/04/2017,31/03/2022,01/04/2021,,30/04/2022,0,0,"�4,772,500.00",�0.00,Please view tab 2 on excel sheet,Ms Sinead Cregan,ITT,Yes,N/A,"Sensory, Deaf, Blind, Impairment, Support"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230296,Leeds Skate park � to engage inactive children in physical activity,Public Health,The services engage inactive children from disadvantaged areas of Leeds in physical activity to improve their health and wellbeing through a freesports programme,01/04/2017,30/09/2017,31/07/2017,,31/10/2017,6,0,"�9,475.00",�0.00,Please view tab 2 on excel sheet,Ms Jan Burkhardt,RFQ,No,N/A,"Skate, Park"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN216400,Leeds South SEMH Provision,Childrens Services,Leeds South SEMH Provision,14/11/2016,16/03/2018,01/11/2017,,16/04/2018,0,0,"�14,343,613.51",�0.00,Please view tab 2 on excel sheet,Mr Nigel Wilson,RFQ,No,N/A,"SEMH, South, Provision"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN227642,Leeds Youth Pathways Grant Fund,Childrens Services,Leeds Youth Pathways Grant Fund,01/04/2017,31/03/2018,01/12/2017,,30/04/2018,N/A,0,"�309,949.26",�0.00,Please view tab 2 on excel sheet,Mr Mike Rowan,RFQ,No,N/A,"Training, Vulnerable, Targeted"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN188507 (CONTRACT-9LNS-4C2N5N),LEEP1 Provision of user lead learning disability day opportunities,Strategy & Commissioning,"This is a�contract with Articulate Advocacy for the provision of Leep1, 
a service that supports people with learning disabilities to develop and 
deliver their own activities",01/04/2015,31/03/2018,01/04/2017,,30/04/2018,12,0,"�164,133.00",�0.00,Please view tab 2 on excel sheet,Lana Northey,Not provided,No,N/A,"day, service, evening, club"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195415 (CONTRACT-A27K-G9LBP9),Library/Art Gallery Roof Refurbishment,City Development,"The Council are to seeking to engage with a main construction contractor 
in order to manage and act as lead contractor to deliver the following works 
: 
The works consist of replacement and restoration slate pitched roof 
coverings, replacement of the patent glazed roofs, restoration of the original 
roof lights, restoration/renewal of the lead roofs and leadwork, improvements 
to the access walkways, pointing repairs to the chimneys and parapet walls, 
repairs to the timber roof structure as required, improvements to the 
insulation in order to meet current building regulations and internal 
decoration around rooflights and patent glazed roofs. 
� 
The flat roofs are not to be replaced as part of this project; however 
repairs to the aco-drain, up stands and penetrations on the sculpture terrace 
flat roof are to be included.",09/05/2016,21/07/2017,21/06/2017,,21/08/2017,0,0,"�2,459,934.00",�0.00,Please view tab 2 on excel sheet,Martin Gresswell,Not provided,No,N/A,"roof, library, art gallery, listed building"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200690 (CONTRACT-ABKP-8PG4MW),Licensed Market Operator for Leeds Outdoor Market,City Development,"One year licence to an external operator of the weekly �Bazaar at Leeds market� 
event",03/08/2016,26/07/2017,03/10/2016,,28/08/2017,0,0,"�18,000.00",�0.00,Please view tab 2 on excel sheet,Chris Ashby,Not provided,No,N/A,"Operator, License, Outdoor, Operator, Market"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191925 (CONTRACT-9TKL-GSPMC2),Light Catering Equipment,Strategy and Resources,Light Catering Equipment,11/01/2016,10/01/2018,10/07/2017,,10/02/2018,12,0,"�360,000.00",�0.00,Please view tab 2 on excel sheet,Mr Ian Coxon,RFQ,No,N/A,"catering, equipment, light"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201262 (CONTRACT-ACMG-CCIYLG),Linton Bridge Repair and Strengthening,City Development,construction of works for Linton bridge repair and strengthening. Call-off from YORcivil Framework,31/10/2016,20/08/2017,30/06/2017,,30/09/2017,0,0,"�1,397,521.94",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,N/A,"bridge, strucure, repair"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197787 (CONTRACT-A6TL-B8RESB),Locality Community Health Development & Improvement Service,"Projects, Programmes & Procurement Unit","The Locality Community Health Development and Improvement Service (LCHDIS) 
shall use a community development approach to build community capacity, 
increase social capital and strengthen individual and community resilience. 
�The overall aim of the Services is to reduce health inequalities by 
primarily focusing on the wider determinants. �There shall be a secondary 
focus on promoting healthy lifestyles and protecting health within communities. 
�This will be included depending on local needs.� The LCHDIS can 
include all ages, where appropriate, but will primarily focus on adults 
16+.� It shall be delivered only in the 10% most deprived neighbourhoods 
nationally within Leeds, as identified in the Index of Multiple Deprivation 
2015 (IMD).
 
Lot 1 � East North East Leeds - �349,706 per annum 
 
 
Lot 2 � South and East Leeds-�229,732 per annum 
 Lot 3 � West North West Leeds-�143,116 per annum 
Leeds City Council are looking to appoint a maximum of one 
provider/consortium per lot.",01/04/2017,31/03/2020,01/04/2019,,30/04/2020,24,0,"�2,161,730.00",�0.00,Please view tab 2 on excel sheet,Catherine Farrell,Not provided,No,N/A,"Public Health, employment skills, housing advice, debt advice, health literacy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197044 (CONTRACT-A5BM-PK8OZ6),"Maintenance of closed circuit TV, staff attack protection system and biometric door system at Adel Beck.",Childrens Services,"Maintenance of the closed circuit television system, the staff attack 
protection system, the biometric door entry system, retractable bollard and 
security gates at Adel Beck�for a period of 21 months",01/06/2016,31/03/2018,29/09/2017,,30/04/2018,0,0,"�75,147.00",�0.00,Please view tab 2 on excel sheet,Michelle Whippey,Not provided,No,N/A,"security, maintenance, biometric, Adel"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN188041 (CONTRACT-9KSF-L528XN),"Maintenance of fuel pumps, tanks and fuel management systems.",City Development,"Leeds City Council has numerous fuel and pump installations across the 
city for the provision of adblue, bio diesel, heating oil, petrol and gas 
oil.� The Council seeks to appoint a single Contractor who will be 
responsible for the inspection, repair and maintenance of fuel pump 
installations including pumps, tanks, pipes and the fuel management system. The 
service is required 365 days per year, 24 hours per day.",01/11/2014,31/10/2018,31/10/2017,,30/11/2018,0,0,"�160,000.00",�0.00,Please view tab 2 on excel sheet,Andrew Barker,Not provided,No,N/A,"fuel, pump, tank, diesel, petrol, oil"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN243482,"Manufacture, supply and installation of bespoke bin frames, railings and gates for bin yards",Waste Management Services,"Manufacture, supply and installation of bespoke bin frames, railings and gates for bin yards",15/03/2017,14/03/2022,01/01/2022,,14/04/2022,N/A,0,"�50,000.00",�0.00,Please view tab 2 on excel sheet,Mr Edward Walton,RFQ,No,N/A,"Bin Frames, Manufacture, Install, Supply, waste"
