Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44171,ocds-7hge34-NCCF40699,"North Walsham to North Walsham, (Lessingham drop off PM only) and North Walsham and Mundesley to Lessingham All Saints School ",framework agreement,Children's Services ,,,"North Walsham to North Walsham, (Lessingham drop off PM only) and North Walsham and Mundesley to Lessingham All Saints School ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,H Dickerson NR28 9TD,,,158156,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44116,ocds-7hge34-NCCF40699,"N. Walsham to Stalham Schools and Hickling/Bacton to St Andrews School, Aylmerton ",framework agreement,Children's Services ,,,"N. Walsham to Stalham Schools and Hickling/Bacton to St Andrews School, Aylmerton ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,S Heels NR27 0BD,,,74190,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44133,ocds-7hge34-NCCF40699,"Gorleston to St Andrews, Aylmerton ",framework agreement,Children's Services ,,,"Gorleston to St Andrews, Aylmerton ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Compass Travel Drifter Ltd,,,179609,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44396,ocds-7hge34-NCCF40699,Great Yarmouth to Gorleston Primary schools ,framework agreement,Children's Services ,,,Great Yarmouth to Gorleston Primary schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/08/2022,#VALUE!,Estimated,,SWIFT TAXIS & PRIVATE HIRE LTD,,,75093,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44053,ocds-7hge34-NCCF40699,Norwich and Thorpe Catchment pick ups to Thorpe St Andrew catchment schools ,framework agreement,Children's Services ,,,Norwich and Thorpe Catchment pick ups to Thorpe St Andrew catchment schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,03/09/2014,31/08/2020,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44409,ocds-7hge34-NCCF40699,"Earsham to Hobart High School, Loddon ",framework agreement,Children's Services ,,,"Earsham to Hobart High School, Loddon ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44054,ocds-7hge34-NCCF40699,Great Yarmouth to Loddon and  Bradwell to Novaturient ,framework agreement,Children's Services ,,,Great Yarmouth to Loddon and  Bradwell to Novaturient ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44055,ocds-7hge34-NCCF40699,"Norwich to Novaturient, Great Yarmouth ",framework agreement,Children's Services ,,,"Norwich to Novaturient, Great Yarmouth ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44056,ocds-7hge34-NCCF40699,"Hemsby to Novaturient School, Great Yarmouth  ",framework agreement,Children's Services ,,,"Hemsby to Novaturient School, Great Yarmouth  ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/08/2019,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44401,ocds-7hge34-NCCF40699,"Southrepps and Happisburgh to Compass Centre, Belton ",framework agreement,Children's Services ,,,"Southrepps and Happisburgh to Compass Centre, Belton ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Town and Country Travel,,,138379,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44036,ocds-7hge34-NCCF40705,"Thetford to New Eccles Hall School, Quidenham  ",framework agreement,Children's Services ,,,"Thetford to New Eccles Hall School, Quidenham  ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,08/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Able Taxis Ltd,,,80467,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44393,ocds-7hge34-NCCF40705,"Wymondham and Bawburgh to New Eccles Hall School, Quidenham ",framework agreement,Children's Services ,,,"Wymondham and Bawburgh to New Eccles Hall School, Quidenham ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,28/08/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Wymondham) Ltd,,,144505,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44370,ocds-7hge34-NCCF40705,"Gayton to New Eccles Hall School, Quidenham  - This contract goes on site and handover to specific staff",framework agreement,Children's Services ,,,"Gayton to New Eccles Hall School, Quidenham  - This contract goes on site and handover to specific staff",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,28/08/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44057,ocds-7hge34-NCCF40705,"Norwich to Acorn Park School, Banham ",framework agreement,Children's Services ,,,"Norwich to Acorn Park School, Banham ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,24/08/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44058,ocds-7hge34-NCCF40705,"Norwich to Knossington Grange School, Oakham, Rutland ",framework agreement,Children's Services ,,,"Norwich to Knossington Grange School, Oakham, Rutland ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,02/09/2014,31/07/2021,,31/07/2021,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44324,ocds-7hge34-NCCF40705,Thetford and Swaffham to Litcham schools ,framework agreement,Children's Services ,,,Thetford and Swaffham to Litcham schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,D S Rissmann (PE32 2QS),,,96503,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44115,ocds-7hge34-NCCF40705,"Feltwell, Southery and Brandon Bank to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Feltwell, Southery and Brandon Bank to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Bobs Taxis,,,66715,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN44089,,All Saints Lessingham minibus  ,single award contract,Children's Services ,,,All Saints Lessingham minibus  ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,01/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,"All Saints School, Lessingham",,,80570,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44372,ocds-7hge34-NCCF40705,"Terrington St Clement to Meadowgate School, Wisbech ",framework agreement,Children's Services ,,,"Terrington St Clement to Meadowgate School, Wisbech ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44373,ocds-7hge34-NCCF40705,"Docking  to Churchill Park Special School, King�s Lynn ",framework agreement,Children's Services ,,,"Docking  to Churchill Park Special School, King�s Lynn ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44375,ocds-7hge34-NCCF40705,Transport to King�s Lynn schools ,framework agreement,Children's Services ,,,Transport to King�s Lynn schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44376,ocds-7hge34-NCCF40705,"Sedgeford and Fairstead to St Michaels SRB, King�s Lynn and North Wootton to Whitefriars Primary, King's Lynn ",framework agreement,Children's Services ,,,"Sedgeford and Fairstead to St Michaels SRB, King�s Lynn and North Wootton to Whitefriars Primary, King's Lynn ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,24/08/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44073,ocds-7hge34-NCCF40705,Leziate and  King�s Lynn to The Wisbech School ,framework agreement,Children's Services ,,,Leziate and  King�s Lynn to The Wisbech School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,24/08/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Airportlink Taxis,,,105602,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44264,ocds-7hge34-NCCF40705,"Outwell and Marshland St James to the Thomas Clarkson Academy, Wisbech ",framework agreement,Children's Services ,,,"Outwell and Marshland St James to the Thomas Clarkson Academy, Wisbech ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,JR Cars & Buses Ltd,,,2178038,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44239,ocds-7hge34-NCCF40705,Melton Constable to Foulsham Primary School and Foulsham to Stibbard Primary School,framework agreement,Children's Services ,,,Melton Constable to Foulsham Primary School and Foulsham to Stibbard Primary School,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2019,#VALUE!,Estimated,,Fakenham Taxis Ltd,,,157863,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44168,ocds-7hge34-NCCF40705,"Diss and Thompson to Neatherd High SRB Unit, Dereham ",framework agreement,Children's Services ,,,"Diss and Thompson to Neatherd High SRB Unit, Dereham ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2021,#VALUE!,Estimated,,Dereham Taxi Ltd,,,653589,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44240,ocds-7hge34-NCCF40705,"Dersingham, Snettisham and Beetley to Neatherd High SRB Unit, Dereham ",framework agreement,Children's Services ,,,"Dersingham, Snettisham and Beetley to Neatherd High SRB Unit, Dereham ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2021,#VALUE!,Estimated,,Fakenham Taxis Ltd,,,157863,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44378,ocds-7hge34-NCCF40710,"Kings Lynn to St Andrews School, Aylmerton ",framework agreement,Children's Services ,,,"Kings Lynn to St Andrews School, Aylmerton ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,26/08/2014,31/07/2019,,31/07/2019,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44334,ocds-7hge34-NCCF40710,"Lower Bodham, Hempstead and Holt to Kelling Primary School ",framework agreement,Children's Services ,,,"Lower Bodham, Hempstead and Holt to Kelling Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2021,,31/07/2022,#VALUE!,Estimated,,Sanders Coaches Limited,,,74414,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44392,ocds-7hge34-NCCF40710,"Salhouse, Rackheath and Aylsham to Sidestrand ",framework agreement,Children's Services ,,,"Salhouse, Rackheath and Aylsham to Sidestrand ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,26/08/2014,31/07/2020,,31/07/2022,#VALUE!,Estimated,,Stuart J Facey,,,75001,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44135,ocds-7hge34-NCCF40710,"Great Yarmouth and Rollesby to Open Academy, Norwich ",framework agreement,Children's Services ,,,"Great Yarmouth and Rollesby to Open Academy, Norwich ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Compass Travel Drifter Ltd,,,179609,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44358,ocds-7hge34-NCCF40710,"Norwich to Bluebell Primary School and City Academy, Norwich ",framework agreement,Children's Services ,,,"Norwich to Bluebell Primary School and City Academy, Norwich ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,SJB Taxis,,,722726,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44350,ocds-7hge34-NCCF40710,Walsoken and King's Lynn to Dereham Schools ,framework agreement,Children's Services ,,,Walsoken and King's Lynn to Dereham Schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2021,#VALUE!,Estimated,,S Gibb (Taxi Services) PE34 4AX,,,74168,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44208,ocds-7hge34-NCCF40710,"Norwich to Notre Dame High School, Norwich ",framework agreement,Children's Services ,,,"Norwich to Notre Dame High School, Norwich ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44066,ocds-7hge34-NCCF40702,South Norfolk Area to the Locksley school and associated units ,framework agreement,Children's Services ,,,South Norfolk Area to the Locksley school and associated units ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44096,ocds-7hge34-NCCF40702,Greater Norwich Area to the Locksley School and associated units ,framework agreement,Children's Services ,,,Greater Norwich Area to the Locksley School and associated units ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,Bestway Taxis,,,66639,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
